Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm),clayey,floamy,sandy,clayskeletal
24-01-2020,Arunachal Pradesh,West Kameng,0.03,519.72,0.37,19.31283793,0.0859306930693069,0.20214504950495,0.109259900990099,0.0
24-01-2020,Arunachal Pradesh,East Siang,0,605.88,0,31.63844201,0.0683794117647059,0.671938235294118,0.0,0.0
24-01-2020,Arunachal Pradesh,Upper Siang,0,845.14,0,24.34519531,0.365096226415094,0.0004766037735849,0.0,0.0
24-01-2020,Arunachal Pradesh,Lohit,0.02,516.71,0.07,25.93271323,0.132099193548387,0.5463709677419359,0.0254427419354839,0.0
24-01-2020,Arunachal Pradesh,Anjaw,0,669,0,20.06596139,0.0987915966386555,0.0938739495798319,0.0036563025210083,0.0
24-01-2020,Arunachal Pradesh,West Siang,0,1244.5,0.03,30.59970427,0.911572727272727,0.0006945454545454,0.0,0.0
23-01-2020,Arunachal Pradesh,Upper Subansiri,0,808.07,0,24.58702159,0.291949224806202,0.0981441860465116,0.0701286821705425,0.0
23-01-2020,Arunachal Pradesh,Tirap,0,328.31,0,31.65805855,0.29950625,0.105552083333333,0.0,0.133483333333333
23-01-2020,Arunachal Pradesh,Kurung Kumey,0,952.96,0,27.43926676,0.479027428571429,0.107082857142857,0.0092651428571428,0.0
23-01-2020,Arunachal Pradesh,East Kameng,0.08,816.57,0.5,26.60949273,0.204567231638418,0.433333898305085,0.0141361581920904,0.0
23-01-2020,Arunachal Pradesh,Changlang,0,794.98,0.02,30.8663134,0.205022842639594,0.369535532994924,0.0,0.0030147208121827
23-01-2020,Arunachal Pradesh,Tawang,0,171.19,0,14.19877473,0.0,0.0,0.0698340206185567,0.0
23-01-2020,Arunachal Pradesh,Lower Dibang Valley,0.03,707.75,0.18,24.28324418,0.0981612676056338,0.539806338028169,0.0025288732394366,0.0
23-01-2020,Arunachal Pradesh,Dibang Valley,0.01,626.69,0.03,16.47688632,0.0667080519480519,0.0406025974025974,0.0,0.0
23-01-2020,Arunachal Pradesh,Papum Pare,0.04,567.01,0.26,29.35021426,,,,
23-01-2020,Arunachal Pradesh,Lower Subansiri,0,341.64,0,26.94848258,0.607903797468354,0.137273417721519,0.0844075949367089,0.0
23-01-2020,Arunachal Pradesh,West Kameng,0.03,525.06,0.41,19.51110007,0.0859306930693069,0.20214504950495,0.109259900990099,0.0
23-01-2020,Arunachal Pradesh,East Siang,0,620.12,0.03,32.38205492,0.0683794117647059,0.671938235294118,0.0,0.0
