District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,floamy_count,floamy_sum,floamy_mean
B>GALKOT,KARN>TAKA,,29,"524",659839.06856799999,6414875097.54000091553,267,777322,2911.31835205993
B>GESHWAR,UTTAR>KHAND,,5,"46",315673.15984199999,2173075913.40000009537,88,375928,4271.90909090909
B>GHPAT,UTTAR PRADESH,,9,"124",218392.98638100000,1281800382.94000005722,52,387073,7443.71153846154
BAHRAICH,UTTAR PRADESH,,9,"125",578747.61541500001,4776946197.07999992371,194,1051611,5420.67525773196
BALAGHAT,MADHYA PRADESH,,23,"392",711298.24101999996,8904866537.20999908447,366,2135186,5833.84153005464
BOLANGIR (BALANGIR),ODISHA,,21,"345",560766.02267900005,6318357757.31000041962,263,1298558,4937.48288973384
BALASORE (B>LESHWAR),ODISHA,,21,"346",554559.33411299996,3581349597.40000009537,149,989267,6639.37583892617
BALL>RI,KARN>TAKA,,29,"528",780219.72859700001,8330054798.35999965668,334,733583,2196.35628742515
BALLIA,UTTAR PRADESH,,9,"126",435847.66576000000,2878350458.86999988556,115,892859,7763.99130434783
B>LOD,CHHATT|SGARH,,22,"646",415028.30758899997,3249540771.94000005722,137,604636,4413.40145985401
BALODA B>Z>R,CHHATT|SGARH,,22,"644",485313.89706900000,4495468285.35000038147,185,483193,2611.85405405405
BALR>MPUR,CHHATT|SGARH,,22,"649",652255.34440800000,6029078270.35000038147,249,1562128,6273.60642570281
BALRAMPUR,UTTAR PRADESH,,9,"127",461650.34350100002,3225738696.21000003815,131,984006,7511.49618320611
BANAS K>NTHA,GUJAR>T,,24,"441",916373.29006599996,10349019412.60000038147,427,2837092,6644.24355971897
BANDA,UTTAR PRADESH,,9,"128",666400.81344199996,4283882474.25000000000,176,719993,4090.86931818182
B>NSW>RA,R>JASTH>N,,8,"88",411359.21857899998,4336303719.10000038147,182,532505,2925.85164835165
BARABANKI,UTTAR PRADESH,,9,"129",489434.66960500000,3707078880.88000059128,152,1226854,8071.40789473684
BARAGARH,ODISHA,,21,"347",603877.34730499994,5624674392.31999969482,229,827879,3615.19213973799
B>R>N,R>JASTH>N,,8,"89",632102.19394200004,6726828635.93999958038,277,201877,728.797833935018
BAREILLY,UTTAR PRADESH,,9,"130",516176.11593099998,3985895113.98000049591,164,1453416,8862.29268292683
B>RMER,R>JASTH>N,,8,"90",1049617.25185999996,27319207031.20000076294,1140,3334727,2925.19912280702
BARWANI,MADHYA PRADESH,,23,"393",493718.64227000001,5227384390.81000041962,220,671227,3051.03181818182
BASTAR,CHHATT|SGARH,,22,"374",569531.12597599998,5228700398.78999996185,218,1536398,7047.69724770642
